Number,compound,Element1,Element2,Class,Pauling EN,Martynov-Batsanov EN,Gordy EN,Mulliken EN,Allred-Rochow EN,Pauling Mean EN,Martynov-Batsanov Mean EN,Gordy Mean EN,Mulliken Mean EN,Allred-Rochow Mean EN,Pauling Ionic Character,Martynov Ionic Character,Gordy Ionic Character,Mulliken Ionic Character,Allred-Rochow Ionic Character,Sum of Valence e-,Mean # e-,Atomic number sum,Atomic number difference,Mean atomic number,Atomic weight difference,Mean atomic weight,Atomic weight sum,Atomic radius sum,Mean atomic radius,Atomic radius ratio,2xatomic radius difference,Covalent radius sum,Mean covalent radius,Covalent radius ratio,2xcovalent radius difference,Zunger radius sum,Mean Zunger radius sum,Zungerradius sum ratio,2xZunger radius sum difference,Zunger radius sum difference,Ionic radius sum,Mean ionic radius,Ionic radius ratio,2xionic radius difference,Crystal radius sum,Mean crystal radius,Crystal radius ratio,2xcrystal radius difference,Period number sum,Mean period number,Period number difference,Group number sum,Mean group number,Group Number difference,Family number sum,Mean family number,Family number difference,Quantum number sum,Mean quantum number ,Quantum number difference
167,BV,B, V,5,0.41,0.32,1.393,0.69,0.521,1.835,2.06,3.8986,3.945,1.7905,0.041154191,0.025275098,0.384371911,0.112214394,0.065608954,8,4,28,18,14,40.1305,30.87625,61.7525,2.2,1.1,0.62962963,1,2.04,1.02,0.672131148,0.8,3.225,1.6125,0.327160494,3.27,1.635,2.2,1.1,0.62962963,1,0.93,0.465,0.367647059,0.86,6,3,2,18,9,8,9,4.5,3,3,1.5,1
168,BCr,B, Cr,5,0.38,0.1,1.3238,0.57,0.401,1.85,1.95,3.9332,4.005,1.8505,0.035456166,0.002496878,0.354746238,0.078013779,0.03940294,9,4.5,29,19,14.5,41.1851,31.40355,62.8071,2.25,1.125,0.607142857,1.1,2,1,0.694915254,0.72,3.235,1.6175,0.325819672,3.29,1.645,2.25,1.125,0.607142857,1.1,1.01,0.505,0.328947368,1.02,6,3,2,19,9.5,7,9,4.5,3,3,1.5,1
169,BMn,B, Mn,6,0.49,0.14,1.2514,0.57,0.301,1.795,1.97,3.9694,4.005,1.9005,0.05825901,0.004888015,0.323958281,0.078013779,0.022395659,10,5,30,20,15,44.12705,32.874525,65.74905,2.25,1.125,0.607142857,1.1,1.99,0.995,0.700854701,0.7,3.015,1.5075,0.358108108,2.85,1.425,2.25,1.125,0.607142857,1.1,1.06,0.53,0.308641975,1.12,6,3,2,20,10,6,9,4.5,3,3,1.5,1
170,BFe,B, Fe,6,0.21,0.23,1.1761,0.23,0.251,1.935,1.785,4.00705,4.175,1.9255,0.010964447,0.013137934,0.292347979,0.013137934,0.015626863,11,5.5,31,21,15.5,45.036,33.329,66.658,2.25,1.125,0.607142857,1.1,1.99,0.995,0.700854701,0.7,2.905,1.4525,0.376777251,2.63,1.315,2.25,1.125,0.607142857,1.1,0.94,0.47,0.362318841,0.88,6,3,2,21,10.5,5,9,4.5,3,3,1.5,1
171,BCo,B, Co,6,0.16,0.18,1.0975,0.01,0.211,1.96,1.81,4.04635,4.295,1.9455,0.006379564,0.008067283,0.260015887,2.50E-05,0.011068538,12,6,32,22,16,48.1222,34.8721,69.7442,2.2,1.1,0.62962963,1,1.98,0.99,0.706896552,0.68,2.815,1.4075,0.393564356,2.45,1.225,2.2,1.1,0.62962963,1,0.79,0.395,0.462962963,0.58,6,3,2,22,11,4,9,4.5,3,3,1.5,1
172,BNi,B, Ni,5,0.13,0.14,1.016,0.11,0.171,1.975,1.83,4.0871,4.345,1.9655,0.004216087,0.004888015,0.227454212,0.003020429,0.007283595,13,6.5,33,23,16.5,47.8824,34.7522,69.5044,2.2,1.1,0.62962963,1,1.97,0.985,0.713043478,0.66,2.975,1.4875,0.364678899,2.77,1.385,2.2,1.1,0.62962963,1,0.95,0.475,0.357142857,0.9,6,3,2,23,11.5,3,9,4.5,3,3,1.5,1
177,BAs,B, As,3,0.14,0.37,0.5769,1.01,0.16,2.11,2.085,4.88355,4.795,2.131,0.004888015,0.033645949,0.079836035,0.225102875,0.006379564,8,4,38,28,19,64.11059,42.866295,85.73259,2,1,0.739130435,0.6,2.02,1.01,0.683333333,0.76,2.21,1.105,0.561837456,1.24,0.62,2,1,0.739130435,0.6,0.97,0.485,0.347222222,0.94,6,3,2,28,14,2,12,6,0,2,1,0
184,BNb,B, Nb,5,0.44,0.13,1.0928,0.29,0.641,1.82,1.965,4.0487,4.145,1.7305,0.04724739,0.004216087,0.25810901,0.020805516,0.097620621,8,4,46,36,23,82.09538,51.85869,103.71738,2.3,1.15,0.586206897,1.2,2.16,1.08,0.611940299,1.04,3.555,1.7775,0.288043478,3.93,1.965,2.3,1.15,0.586206897,1.2,1.03,0.515,0.320512821,1.06,7,3.5,3,18,9,8,10,5,2,3,1.5,1
185,BMo,B, Mo,5,0.12,0.04,1.0403,0.39,0.581,2.1,1.92,4.07495,4.095,1.7605,0.003593528,0.00039992,0.237044844,0.037311127,0.080927482,9,4.5,47,37,23.5,85.129,53.3755,106.751,2.3,1.15,0.586206897,1.2,2.12,1.06,0.630769231,0.96,3.515,1.7575,0.292279412,3.85,1.925,2.3,1.15,0.586206897,1.2,1.04,0.52,0.316455696,1.08,7,3.5,3,19,9.5,7,10,5,2,3,1.5,1
187,BRu,B, Ru,5,0.16,0.07,0.9283,0.21,0.511,2.12,1.935,4.13095,4.395,1.7955,0.006379564,0.00122425,0.193809508,0.010964447,0.063195113,11,5.5,49,39,24.5,90.259,55.9405,111.881,2.15,1.075,0.653846154,0.9,2.07,1.035,0.656,0.86,3.4,1.7,0.305182342,3.62,1.81,2.15,1.075,0.653846154,0.9,1.07,0.535,0.304878049,1.14,7,3.5,3,21,10.5,5,10,5,2,3,1.5,1
188,BRh,B, Rh,5,0.24,0.09,0.8689,0.01,0.491,2.16,1.945,4.16065,4.295,1.8055,0.014296816,0.002022951,0.172003873,2.50E-05,0.058489944,12,6,50,40,25,92.0945,56.85825,113.7165,2.2,1.1,0.62962963,1,2.07,1.035,0.656,0.86,3.315,1.6575,0.31547619,3.45,1.725,2.2,1.1,0.62962963,1,1.06,0.53,0.308641975,1.12,7,3.5,3,22,11,4,10,5,2,3,1.5,1
214,BHf,B, Hf,2,0.74,0.17,1.7753,0.49,0.891,1.67,1.815,5.48275,4.045,1.6055,0.127942572,0.007198962,0.545211372,0.05825901,0.180015835,7,3.5,77,67,38.5,167.679,94.6505,189.301,2.4,1.2,0.548387097,1.4,2.26,1.13,0.569444444,1.24,3.705,1.8525,0.273195876,4.23,2.115,2.4,1.2,0.548387097,1.4,1.1,0.55,0.294117647,1.2,8,4,4,17,8.5,9,10,5,2,3,1.5,1
215,BTa,B, Ta,5,0.54,0.04,1.9787,0.18,0.711,1.77,1.92,5.58445,4.2,1.6955,0.070306205,0.00039992,0.624243301,0.008067283,0.118720324,8,4,78,68,39,170.1369,95.87945,191.7589,2.3,1.15,0.586206897,1.2,2.16,1.08,0.611940299,1.04,3.585,1.7925,0.284946237,3.99,1.995,2.3,1.15,0.586206897,1.2,1.03,0.515,0.320512821,1.06,8,4,4,18,9,8,10,5,2,3,1.5,1
220,BPt,B, Pt,7,0.24,0.01,3.1257,1.31,0.331,2.16,1.905,6.15795,4.945,1.8855,0.014296816,2.50E-05,0.913056789,0.34885635,0.027018539,13,6.5,83,73,41.5,184.269,102.9455,205.891,2.2,1.1,0.62962963,1,2.12,1.06,0.630769231,0.96,3.495,1.7475,0.294444444,3.81,1.905,2.2,1.1,0.62962963,1,0.99,0.495,0.337837838,0.98,8,4,4,23,11.5,3,10,5,2,3,1.5,1
239,CTi,C, Ti,2,1.01,0.51,2.4887,2.82,1.164,2.045,2.115,4.38025,4.86,1.962,0.225102875,0.062955963,0.787413629,0.863044606,0.287320879,8,4,28,16,14,35.869,29.9455,59.891,2.1,1.05,0.5,1.4,2.09,1.045,0.583333333,1.1,3.22,1.61,0.248062016,3.88,1.94,2.1,1.05,0.5,1.4,1.04,0.52,0.386666667,0.92,6,3,2,18,9,10,10,5,4,3,1.5,1
256,CZr,C, Zr,2,1.22,0.67,2.1725,2.63,1.224,1.94,2.035,4.53835,4.955,1.932,0.310714689,0.10615688,0.692702536,0.822578141,0.312397246,8,4,46,34,23,79.213,51.6175,103.235,2.25,1.125,0.451612903,1.7,2.22,1.11,0.531034483,1.36,3.465,1.7325,0.226548673,4.37,2.185,2.25,1.125,0.451612903,1.7,1.15,0.575,0.337209302,1.14,7,3.5,3,18,9,10,11,5.5,3,3,1.5,1
257,CNb,C, Nb,2,0.95,0.34,2.1223,2.27,1.134,2.075,2.2,4.56345,5.135,1.977,0.201982698,0.028486389,0.675684776,0.724240177,0.274931394,9,4.5,47,35,23.5,80.89538,52.45869,104.91738,2.15,1.075,0.482758621,1.5,2.11,1.055,0.574626866,1.14,3.4,1.7,0.231884058,4.24,2.12,2.15,1.075,0.482758621,1.5,1.07,0.535,0.371794872,0.98,7,3.5,3,19,9.5,9,11,5.5,3,3,1.5,1
287,CHf,C, Hf,2,1.25,0.64,0.7458,2.47,1.384,1.925,2.05,5.9975,5.035,1.852,0.323366154,0.097331588,0.129819319,0.782427902,0.380513271,8,4,78,66,39,166.479,95.2505,190.501,2.25,1.125,0.451612903,1.7,2.21,1.105,0.534722222,1.34,3.55,1.775,0.219931271,4.54,2.27,2.25,1.125,0.451612903,1.7,1.14,0.57,0.341176471,1.12,8,4,4,18,9,10,11,5.5,3,3,1.5,1
288,CTa,C, Ta,2,1.05,0.43,0.9492,2.16,1.204,2.025,2.155,6.0992,5.19,1.942,0.240902461,0.045172898,0.201679521,0.688513724,0.303998873,9,4.5,79,67,39.5,168.9369,96.47945,192.9589,2.15,1.075,0.482758621,1.5,2.11,1.055,0.574626866,1.14,3.43,1.715,0.229390681,4.3,2.15,2.15,1.075,0.482758621,1.5,1.07,0.535,0.371794872,0.98,8,4,4,19,9.5,9,11,5.5,3,3,1.5,1
